Date,Activity,Group,Duration,Distance,Steps,Calories
6/16/14,transport,transport,7765,83.189,0,0
6/16/14,walking,walking,1118,0.796,1860,0
6/17/14,walking,walking,343,0.216,499,0
6/17/14,cycling,cycling,337,1.028,0,0
6/17/14,transport,transport,1000,1.001,0,0
6/18/14,walking,walking,670,0.381,904,0
6/18/14,transport,transport,579,1.427,0,0
6/18/14,cycling,cycling,362,1.545,0,0
6/19/14,cycling,cycling,1184,2.831,0,0
6/19/14,walking,walking,2148,1.371,2997,0
6/19/14,transport,transport,4421,25.720,0,0
6/21/14,walking,walking,150,0.094,212,0
6/21/14,transport,transport,5480,89.972,0,0
6/22/14,walking,walking,799,0.554,1148,0
6/22/14,transport,transport,2984,31.281,0,0
6/22/14,running,running,1407,2.630,3348,0
