Date,Activity,Group,Duration,Distance,Steps,Calories
6/23/14,cycling,cycling,420,1.274,0,0
6/23/14,walking,walking,1899,1.253,2573,0
6/23/14,transport,transport,201,0.908,0,0
6/24/14,walking,walking,1514,0.917,1621,0
6/24/14,transport,transport,3630,54.430,0,0
6/24/14,cycling,cycling,1309,3.147,0,0
6/25/14,transport,transport,4651,53.209,0,0
6/25/14,walking,walking,376,0.188,524,0
6/26/14,transport,transport,15170,177.064,0,0
6/26/14,walking,walking,667,0.454,1017,0
6/27/14,transport,transport,4023,20.366,0,0
6/27/14,walking,walking,699,0.452,1033,0
6/28/14,walking,walking,313,0.180,498,0
6/28/14,transport,transport,7108,97.532,0,0
6/29/14,transport,transport,4477,47.568,0,0
6/29/14,walking,walking,1816,1.269,2249,0
