Date,Activity,Group,Duration,Distance,Steps,Calories
6/3/14,walking,walking,1350,0.872,2139,0
6/3/14,cycling,cycling,802,2.492,0,0
6/3/14,transport,transport,651,1.372,0,0
6/4/14,walking,walking,1222,0.632,1512,0
6/4/14,cycling,cycling,731,2.549,0,0
6/4/14,transport,transport,3068,10.384,0,0
6/5/14,cycling,cycling,1284,3.441,0,0
6/5/14,walking,walking,2330,1.834,4134,0
6/5/14,transport,transport,8523,84.995,0,0
6/6/14,walking,walking,4726,3.892,8823,0
6/6/14,transport,transport,1714,5.279,0,0
6/7/14,walking,walking,3138,1.614,4220,0
6/7/14,transport,transport,4966,19.629,0,0
6/7/14,running,running,456,0.677,1165,0
