name,air_temp,skin_temp,calories,gsr,heart_rate,steps
435,86.6,90.7,1.1,0.367,46,0
436,86.8,90.7,1.0,0.376,46,0
437,86.6,90.7,1.1,0.383,46,0
438,86.5,90.6,1.0,0.381,45,0
439,86.8,90.5,1.1,0.369,45,0
440,86.6,90.5,1.1,0.372,45,0
441,86.5,90.5,1.0,0.37,46,0
442,86.5,90.5,1.1,0.365,46,0
443,86.5,90.5,1.1,0.361,45,0
444,86.5,90.5,1.0,0.371,46,0
445,86.5,90.5,1.1,0.374,46,0
446,86.5,90.5,1.1,0.37,46,0
447,86.5,90.5,1.0,0.363,45,0
448,86.5,90.4,1.1,0.367,45,0
449,86.5,90.4,1.4,0.523,49,0
450,86.5,90.5,0.9,0.82,46,0
451,86.8,90.5,1.1,0.839,41,0
452,87.2,90.5,1.0,0.863,42,0
453,87.7,90.7,1.1,0.899,42,0
454,87.8,90.7,1.0,0.91,42,0
455,88.1,90.7,1.0,0.917,43,0
456,88.6,90.9,1.0,0.916,43,0
457,88.7,91.0,1.2,0.911,44,0
458,88.7,91.0,1.0,0.745,57,0
459,88.4,91.2,1.0,0.727,43,0
460,87.9,91.2,1.0,0.703,43,0
461,87.5,91.1,1.0,0.703,44,0
462,87.3,90.9,1.2,0.648,42,0
463,87.0,90.6,1.0,0.61,43,0
464,86.6,90.4,1.0,0.616,42,0
465,86.5,90.2,1.1,0.562,44,0
466,86.1,90.0,1.0,0.584,45,0
467,86.0,90.0,1.0,0.579,47,0
468,86.0,89.8,1.1,0.574,45,0
469,86.0,89.6,1.0,0.558,47,0
470,85.7,89.6,1.0,0.559,46,0
471,85.6,89.4,1.1,0.561,47,0
472,85.6,89.4,0.9,0.542,45,0
473,85.2,89.2,1.2,0.544,45,0
474,85.1,89.1,1.1,0.524,57,0
475,85.1,89.1,1.2,0.528,48,0
476,84.8,89.0,1.1,0.508,60,0
477,84.3,88.9,1.2,0.529,47,0
478,83.9,88.5,1.4,0.347,44,0
479,83.4,88.2,1.5,0.324,45,0
480,83.3,88.2,1.5,0.548,-10,0
481,83.0,88.2,1.5,0.681,59,0
482,82.8,88.2,1.0,0.653,46,0
483,83.2,88.2,1.1,0.686,46,0
484,83.3,88.2,0.9,0.659,44,0
485,83.3,88.2,1.1,0.639,44,0
486,83.6,88.2,1.0,0.654,45,0
487,83.8,88.3,1.0,0.666,44,0
488,83.8,88.5,1.1,0.652,45,0
489,84.1,88.5,1.0,0.667,44,0
490,84.2,88.5,1.1,0.669,44,0
491,84.2,88.7,1.1,0.67,45,0
492,84.5,88.7,1.0,0.678,44,0
