air_temp,skin_temp,calories,gsr,heart_rate,steps,posture_score
80.6 , 84.4 , 1.4 , 0.00115 , 62 , 0
80.6 , 84.4 , 1.8 , 0.00121 , 58 , 0
80.3 , 84.4 , 1.8 , 0.00121 , 73 , 0
80.2 , 84.5 , 1.8 , 0.00128 , 72 , 0
80.2 , 84.4 , 1.3 , 0.00122 , 63 , 0
80.2 , 84.4 , 1.7 , 0.00128 , 60 , 0
80.2 , 84.4 , 1.6 , 0.00136 , 58 , 0
80.2 , 84.4 , 1.9 , 0.00137 , 64 , 0
80.2 , 84.4 , 1.8 , 0.00144 , 61 , 0
80.2 , 84.5 , 1.8 , 0.00145 , 60 , 0
79.8 , 84.5 , 1.6 , 0.00144 , 60 , 0
79.7 , 84.4 , 1.6 , 0.00157 , 58 , 0
79.4 , 84.3 , 1.9 , 0.0016 , 56 , 0
79.2 , 84.4 , 1.8 , 0.00169 , 58 , 0
79.2 , 84.4 , 1.9 , 0.00172 , 59 , 0
79.2 , 84.4 , 1.8 , 0.00171 , 61 , 0
79.2 , 84.4 , 1.5 , 0.0017 , 59 , 0
79.2 , 84.3 , 1.7 , 0.0017 , 57 , 0
79.2 , 84.2 , 1.7 , 0.0019 , 59 , 0
79.2 , 84.2 , 1.7 , 0.00182 , 60 , 0
79.2 , 84.2 , 1.9 , 0.00173 , 57 , 0
78.9 , 84.2 , 1.3 , 0.000798 , 56 , 0
78.8 , 84.1 , 1.8 , 0.00117 , 56 , 0
78.8 , 83.9 , 1.4 , 0.00127 , 53 , 0
78.8 , 83.8 , 1.6 , 0.00135 , 58 , 0
79.1 , 83.8 , 1.7 , 0.00158 , 62 , 0
78.9 , 83.7 , 1.5 , 0.00167 , 73 , 0
78.8 , 83.5 , 1.5 , 0.00167 , 66 , 0
78.8 , 83.5 , 1.8 , 0.0016 , 56 , 0
79.1 , 83.7 , 1.7 , 0.00176 , 62 , 0
79.2 , 83.8 , 1.7 , 0.0017 , 66 , 0
79.2 , 83.9 , 1.5 , 0.00193 , 62 , 0
79.2 , 83.8 , 1.1 , 0.00215 , 61 , 0
79.6 , 83.8 , 1.3 , 0.00216 , 59 , 0
79.7 , 83.9 , 1.5 , 0.00216 , 62 , 0
79.7 , 83.9 , 1.6 , 0.00225 , 62 , 0
79.7 , 84.1 , 1.5 , 0.00211 , 60 , 0
79.7 , 84.0 , 1.4 , 0.0023 , 60 , 0
79.7 , 84.0 , 1.4 , 0.00241 , 60 , 0
79.7 , 84.1 , 1.7 , 0.00235 , 59 , 0
79.7 , 84.1 , 1.4 , 0.00254 , 60 , 0
79.7 , 84.0 , 1.2 , 0.00229 , 62 , 0
79.7 , 84.0 , 1.4 , 0.00223 , 58 , 0
79.7 , 83.9 , 1.6 , 0.00246 , 64 , 0
79.7 , 84.1 , 2.0 , 0.00229 , 58 , 0
79.7 , 84.5 , 1.6 , 0.000938 , 59 , 0
79.7 , 84.3 , 2.2 , 0.000917 , 56 , 0
79.7 , 84.2 , 2.7 , 0.000876 , -10 , 11
79.4 , 84.2 , 2.2 , 0.00075 , -10 , 0
79.9 , 84.0 , 1.4 , 0.000889 , 56 , 0
80.8 , 84.2 , 1.5 , 0.000885 , 53 , 0
81.7 , 84.2 , 1.5 , 0.000816 , 54 , 0
82.6 , 84.3 , 1.2 , 0.00101 , 53 , 0
83.2 , 84.6 , 1.7 , 0.0011 , 47 , 0
83.6 , 84.9 , 1.6 , 0.00121 , 52 , 0
84.1 , 84.9 , 1.2 , 0.000977 , 59 , 0
84.2 , 84.9 , 1.1 , 0.000979 , 50 , 0
84.5 , 84.9 , 1.3 , 0.000985 , 50 , 0
84.7 , 84.9 , 1.2 , 0.000996 , 53 , 0
84.7 , 84.9 , 1.1 , 0.00141 , 50 , 0
85.0 , 85.1 , 2.1 , 0.000943 , 51 , 0
84.2 , 85.3 , 1.7 , 0.000742 , 65 , 0
83.4 , 85.5 , 1.1 , 0.000774 , 57 , 0
83.6 , 85.7 , 1.1 , 0.000748 , 52 , 0
83.8 , 86.1 , 1.1 , 0.000773 , 51 , 0
84.1 , 86.4 , 1.0 , 0.0008 , 47 , 0
84.5 , 86.6 , 1.1 , 0.000801 , 48 , 0
85.0 , 86.9 , 1.1 , 0.000822 , 48 , 0
85.1 , 87.1 , 1.0 , 0.000801 , 52 , 0
85.4 , 87.3 , 1.1 , 0.00084 , 51 , 0
85.6 , 87.5 , 1.0 , 0.000817 , 52 , 0
85.6 , 87.6 , 1.1 , 0.000871 , 52 , 0
85.9 , 87.8 , 1.0 , 0.00087 , 53 , 0
86.0 , 88.0 , 1.1 , 0.00093 , 54 , 0
86.0 , 88.2 , 1.2 , 0.00088 , 52 , 0
86.0 , 88.2 , 1.0 , 0.000806 , 52 , 0
86.0 , 88.2 , 0.9 , 0.000863 , 52 , 0
85.7 , 88.0 , 1.0 , 0.000855 , 52 , 0
85.2 , 88.0 , 1.0 , 0.000857 , 53 , 0
85.1 , 88.0 , 0.9 , 0.000853 , 53 , 0
84.8 , 88.0 , 1.0 , 0.000894 , 53 , 0
84.3 , 88.0 , 1.0 , 0.000891 , 53 , 0
84.2 , 88.0 , 0.9 , 0.000901 , 53 , 0
84.2 , 87.9 , 1.6 , 0.000915 , 53 , 0
84.2 , 87.8 , 1.0 , 0.000871 , 49 , 0
84.5 , 87.8 , 1.1 , 0.000874 , 49 , 0
85.0 , 88.0 , 1.1 , 0.000884 , 50 , 0
85.1 , 88.2 , 1.0 , 0.000902 , 50 , 0
85.4 , 88.5 , 1.1 , 0.000924 , 49 , 0
