Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/17/14,walking,walking,2014-06-17T02:26:32-07:00,2014-06-17T02:26:50-07:00,18,0.006,18,0
6/17/14,cycling,cycling,2014-06-17T15:11:52-07:00,2014-06-17T15:17:29-07:00,337,1.028,0,0
6/17/14,walking,walking,2014-06-17T15:18:49-07:00,2014-06-17T15:19:49-07:00,60,0.035,112,0
6/17/14,walking,walking,2014-06-17T17:03:28-07:00,2014-06-17T17:06:53-07:00,205,0.146,273,0
6/17/14,walking,walking,2014-06-17T17:11:28-07:00,2014-06-17T17:12:28-07:00,60,0.030,96,0
6/17/14,transport,transport,2014-06-17T23:35:18-07:00,2014-06-17T23:51:58-07:00,1000,1.001,0,0
