Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/4/14,transport,transport,2014-07-04T09:04:14-07:00,2014-07-04T09:15:00-07:00,646,2.269,0,0
7/4/14,walking,walking,2014-07-04T09:22:06-07:00,2014-07-04T09:22:36-07:00,30,0.012,41,0
7/4/14,transport,transport,2014-07-04T10:02:13-07:00,2014-07-04T11:56:49-07:00,6876,129.278,0,0
7/4/14,walking,walking,2014-07-04T12:06:41-07:00,2014-07-04T12:07:02-07:00,21,0.016,50,0
7/4/14,transport,transport,2014-07-04T12:07:02-07:00,2014-07-04T13:21:11-07:00,4449,99.163,0,0
7/4/14,transport,transport,2014-07-04T13:29:58-07:00,2014-07-04T13:49:28-07:00,1170,21.405,0,0
7/4/14,walking,walking,2014-07-04T13:49:54-07:00,2014-07-04T13:50:24-07:00,30,0.016,51,0
7/4/14,transport,transport,2014-07-04T14:33:07-07:00,2014-07-04T16:12:36-07:00,5969,127.362,0,0
7/4/14,walking,walking,2014-07-04T16:12:35-07:00,2014-07-04T16:14:35-07:00,120,0.065,211,0
7/4/14,transport,transport,2014-07-04T16:42:03-07:00,2014-07-04T17:02:50-07:00,1247,3.451,0,0
7/4/14,walking,walking,2014-07-04T17:08:02-07:00,2014-07-04T17:12:02-07:00,240,0.179,384,0
7/4/14,transport,transport,2014-07-04T17:27:38-07:00,2014-07-04T18:01:11-07:00,2013,8.495,0,0
7/4/14,walking,walking,2014-07-04T18:12:19-07:00,2014-07-04T18:13:49-07:00,90,0.057,182,0
7/4/14,transport,transport,2014-07-04T18:15:11-07:00,2014-07-04T18:17:18-07:00,127,0.216,0,0
7/4/14,walking,walking,2014-07-04T18:17:18-07:00,2014-07-04T18:20:21-07:00,183,0.094,216,0
7/4/14,walking,walking,2014-07-04T18:25:18-07:00,2014-07-04T18:25:48-07:00,30,0.009,31,0
7/4/14,walking,walking,2014-07-04T18:45:04-07:00,2014-07-04T18:58:37-07:00,813,0.498,1254,0
7/4/14,walking,walking,2014-07-04T19:00:07-07:00,2014-07-04T19:01:37-07:00,90,0.060,193,0
7/4/14,walking,walking,2014-07-04T19:02:55-07:00,2014-07-04T19:13:38-07:00,643,0.391,1056,0
7/4/14,transport,transport,2014-07-04T19:13:37-07:00,2014-07-04T19:19:55-07:00,378,1.248,0,0
7/4/14,transport,transport,2014-07-04T19:31:02-07:00,2014-07-04T19:45:55-07:00,893,5.563,0,0
7/4/14,walking,walking,2014-07-04T19:49:15-07:00,2014-07-04T19:51:45-07:00,150,0.099,214,0
7/4/14,walking,walking,2014-07-04T21:20:21-07:00,2014-07-04T21:23:57-07:00,216,0.169,291,0
7/4/14,transport,transport,2014-07-04T21:23:57-07:00,2014-07-04T22:27:19-07:00,3802,36.083,0,0
7/4/14,walking,walking,2014-07-04T22:29:31-07:00,2014-07-04T22:32:31-07:00,180,0.090,193,0
