Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/6/14,walking,walking,2014-06-06T00:36:42-07:00,2014-06-06T01:00:24-07:00,1422,1.076,2785,0
6/6/14,transport,transport,2014-06-06T08:50:45-07:00,2014-06-06T09:01:19-07:00,634,1.304,0,0
6/6/14,walking,walking,2014-06-06T09:01:18-07:00,2014-06-06T09:18:44-07:00,1046,0.793,1630,0
6/6/14,walking,walking,2014-06-06T11:58:32-07:00,2014-06-06T12:33:01-07:00,2069,1.924,4141,0
6/6/14,transport,transport,2014-06-06T19:27:39-07:00,2014-06-06T19:37:51-07:00,612,2.205,0,0
6/6/14,walking,walking,2014-06-06T19:37:50-07:00,2014-06-06T19:40:59-07:00,189,0.098,267,0
6/6/14,transport,transport,2014-06-06T21:19:50-07:00,2014-06-06T21:27:38-07:00,468,1.771,0,0
