Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/18/14,transport,transport,2014-06-18T18:05:56-07:00,2014-06-18T18:15:35-07:00,579,1.427,0,0
6/18/14,walking,walking,2014-06-18T18:15:35-07:00,2014-06-18T18:18:14-07:00,159,0.086,236,0
6/18/14,walking,walking,2014-06-18T21:14:05-07:00,2014-06-18T21:16:55-07:00,170,0.122,227,0
6/18/14,walking,walking,2014-06-18T21:22:04-07:00,2014-06-18T21:27:45-07:00,341,0.173,441,0
6/18/14,cycling,cycling,2014-06-18T21:57:20-07:00,2014-06-18T22:03:22-07:00,362,1.545,0,0
