Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/22/14,transport,transport,2014-06-22T00:00:00-07:00,2014-06-22T00:36:35-07:00,2195,28.962,0,0
6/22/14,walking,walking,2014-06-22T00:36:34-07:00,2014-06-22T00:41:35-07:00,301,0.214,520,0
6/22/14,walking,walking,2014-06-22T00:44:35-07:00,2014-06-22T00:47:05-07:00,150,0.086,184,0
6/22/14,transport,transport,2014-06-22T04:36:44-07:00,2014-06-22T04:49:53-07:00,789,2.320,0,0
6/22/14,walking,walking,2014-06-22T04:54:14-07:00,2014-06-22T04:55:44-07:00,90,0.041,133,0
6/22/14,running,running,2014-06-22T19:51:29-07:00,2014-06-22T20:14:56-07:00,1407,2.630,3348,0
6/22/14,walking,walking,2014-06-22T20:14:56-07:00,2014-06-22T20:15:26-07:00,30,0.012,40,0
6/22/14,walking,walking,2014-06-22T20:17:25-07:00,2014-06-22T20:21:13-07:00,228,0.200,271,0
