Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/6/14,walking,walking,2014-07-06T09:39:19-07:00,2014-07-06T09:40:19-07:00,60,0.032,101,0
7/6/14,transport,transport,2014-07-06T09:52:08-07:00,2014-07-06T10:28:14-07:00,2166,2.881,0,0
7/6/14,walking,walking,2014-07-06T12:16:15-07:00,2014-07-06T12:16:45-07:00,30,0.019,61,0
7/6/14,transport,transport,2014-07-06T12:18:40-07:00,2014-07-06T12:24:10-07:00,330,2.028,0,0
7/6/14,walking,walking,2014-07-06T12:26:16-07:00,2014-07-06T12:27:33-07:00,77,0.042,136,0
7/6/14,transport,transport,2014-07-06T12:35:06-07:00,2014-07-06T12:51:22-07:00,976,4.070,0,0
7/6/14,walking,walking,2014-07-06T12:52:36-07:00,2014-07-06T12:53:36-07:00,60,0.041,132,0
7/6/14,transport,transport,2014-07-06T17:03:55-07:00,2014-07-06T17:10:34-07:00,399,1.923,0,0
7/6/14,walking,walking,2014-07-06T17:15:37-07:00,2014-07-06T17:16:07-07:00,30,0.012,41,0
7/6/14,transport,transport,2014-07-06T17:59:55-07:00,2014-07-06T18:49:54-07:00,2999,56.300,0,0
7/6/14,walking,walking,2014-07-06T18:51:18-07:00,2014-07-06T18:52:18-07:00,60,0.025,82,0
