Date,Type,Name,Start,End,Duration
7/1/14,place,Home,2014-07-01T00:00:00-07:00,2014-07-01T13:51:26-07:00,49886
7/1/14,move,cycling,2014-07-01T13:51:26-07:00,2014-07-01T13:58:14-07:00,408
7/1/14,place,Siemens Berkeley,2014-07-01T13:58:14-07:00,2014-07-01T15:11:47-07:00,4413
7/1/14,move,walking,2014-07-01T15:11:47-07:00,2014-07-01T15:26:57-07:00,910
7/1/14,place,School of Information,2014-07-01T15:26:57-07:00,2014-07-01T19:21:43-07:00,14086
7/1/14,move,cycling,2014-07-01T19:21:43-07:00,2014-07-01T19:30:35-07:00,532
7/1/14,place,Home,2014-07-01T19:30:36-07:00,2014-07-02T00:00:00-07:00,16164
7/2/14,place,Home,2014-07-02T00:00:00-07:00,2014-07-02T15:42:54-07:00,56574
7/2/14,move,transport,2014-07-02T15:42:54-07:00,2014-07-02T15:46:53-07:00,239
7/2/14,move,walking,2014-07-02T15:46:53-07:00,2014-07-02T15:52:53-07:00,360
7/2/14,place,Siemens Berkeley,2014-07-02T15:52:54-07:00,2014-07-02T17:01:27-07:00,4113
7/2/14,move,cycling,2014-07-02T17:01:27-07:00,2014-07-02T17:07:01-07:00,334
7/2/14,place,Home,2014-07-02T17:07:02-07:00,2014-07-02T17:32:33-07:00,1531
7/2/14,move,walking,2014-07-02T17:32:33-07:00,2014-07-02T17:44:25-07:00,712
7/2/14,move,transport,2014-07-02T17:44:25-07:00,2014-07-02T18:44:59-07:00,3634
7/2/14,place,Place in San Francisco International Airport,2014-07-02T18:44:59-07:00,2014-07-02T18:54:56-07:00,597
7/2/14,move,transport,2014-07-02T18:54:56-07:00,2014-07-02T19:49:12-07:00,3256
7/2/14,place,Place in Mountain View,2014-07-02T19:49:11-07:00,2014-07-02T19:53:31-07:00,260
7/2/14,move,walking,2014-07-02T19:53:31-07:00,2014-07-02T20:03:42-07:00,611
7/2/14,place,Place in Mountain View,2014-07-02T20:03:41-07:00,2014-07-02T20:11:14-07:00,453
7/2/14,move,transport,2014-07-02T20:11:14-07:00,2014-07-02T20:20:12-07:00,538
7/2/14,place,Saravana Bhavan,2014-07-02T20:20:12-07:00,2014-07-02T21:43:14-07:00,4982
7/2/14,move,transport,2014-07-02T21:43:14-07:00,2014-07-02T21:54:29-07:00,675
7/2/14,place,Home,2014-07-02T21:54:29-07:00,2014-07-02T23:08:03-07:00,4414
7/2/14,move,transport,2014-07-02T23:08:03-07:00,2014-07-02T23:24:26-07:00,983
7/2/14,move,walking,2014-07-02T23:24:26-07:00,2014-07-02T23:29:18-07:00,292
7/2/14,place,Place in Johnsville Mobile Home Park,2014-07-02T23:29:18-07:00,2014-07-03T00:00:00-07:00,1842
7/3/14,place,Place in Johnsville Mobile Home Park,2014-07-03T00:00:00-07:00,2014-07-03T00:59:19-07:00,3559
7/3/14,move,walking,2014-07-03T00:59:19-07:00,2014-07-03T01:01:10-07:00,111
7/3/14,move,transport,2014-07-03T01:01:09-07:00,2014-07-03T01:48:55-07:00,2866
7/3/14,place,Home,2014-07-03T01:48:55-07:00,2014-07-03T15:21:19-07:00,48744
7/3/14,move,transport,2014-07-03T15:21:19-07:00,2014-07-03T15:24:47-07:00,208
7/3/14,place,Place in Palo Alto,2014-07-03T15:24:47-07:00,2014-07-03T16:14:12-07:00,2965
7/3/14,move,transport,2014-07-03T16:14:12-07:00,2014-07-03T16:21:38-07:00,446
7/3/14,move,walking,2014-07-03T16:21:38-07:00,2014-07-03T16:24:15-07:00,157
7/3/14,place,Home,2014-07-03T16:24:15-07:00,2014-07-04T00:00:00-07:00,27345
7/4/14,place,Home,2014-07-04T00:00:00-07:00,2014-07-04T09:04:14-07:00,32654
7/4/14,move,transport,2014-07-04T09:04:14-07:00,2014-07-04T09:15:00-07:00,646
7/4/14,place,Home,2014-07-04T09:15:00-07:00,2014-07-04T10:02:13-07:00,2833
7/4/14,move,transport,2014-07-04T10:02:13-07:00,2014-07-04T11:56:49-07:00,6876
7/4/14,place,Place in Fresno County,2014-07-04T11:56:48-07:00,2014-07-04T12:07:02-07:00,614
7/4/14,move,transport,2014-07-04T12:07:02-07:00,2014-07-04T13:21:11-07:00,4449
7/4/14,place,Place in Pilot Travel Center #154,2014-07-04T13:21:10-07:00,2014-07-04T13:29:58-07:00,528
7/4/14,move,transport,2014-07-04T13:29:58-07:00,2014-07-04T13:49:28-07:00,1170
7/4/14,place,Place in California,2014-07-04T13:49:27-07:00,2014-07-04T14:33:07-07:00,2620
7/4/14,move,transport,2014-07-04T14:33:07-07:00,2014-07-04T16:12:36-07:00,5969
7/4/14,move,walking,2014-07-04T16:12:35-07:00,2014-07-04T16:14:35-07:00,120
