Date,Type,Name,Start,End,Duration
6/23/14,place,Home,2014-06-23T00:26:38-07:00,2014-06-23T19:54:07-07:00,70049
6/23/14,move,cycling,2014-06-23T19:54:07-07:00,2014-06-23T20:01:07-07:00,420
6/23/14,place,"Place in University of California, Berkeley",2014-06-23T20:01:07-07:00,2014-06-23T22:00:54-07:00,7187
6/23/14,move,walking,2014-06-23T22:00:54-07:00,2014-06-23T22:11:21-07:00,627
6/23/14,place,Place in Berkeley,2014-06-23T22:11:21-07:00,2014-06-23T22:55:11-07:00,2630
6/23/14,move,walking,2014-06-23T22:55:11-07:00,2014-06-23T23:05:01-07:00,590
6/23/14,place,Place in Berkeley,2014-06-23T23:05:01-07:00,2014-06-23T23:07:20-07:00,139
6/23/14,move,walking,2014-06-23T23:07:20-07:00,2014-06-23T23:13:29-07:00,369
6/23/14,place,Siemens Berkeley,2014-06-23T23:13:29-07:00,2014-06-23T23:56:39-07:00,2590
6/23/14,move,transport,2014-06-23T23:56:39-07:00,2014-06-24T00:00:00-07:00,201
6/24/14,move,transport,2014-06-24T00:00:00-07:00,2014-06-24T00:01:28-07:00,88
6/24/14,move,walking,2014-06-24T00:01:27-07:00,2014-06-24T00:04:21-07:00,174
6/24/14,place,Home,2014-06-24T00:04:22-07:00,2014-06-24T08:42:47-07:00,31105
6/24/14,move,cycling,2014-06-24T08:42:47-07:00,2014-06-24T08:51:50-07:00,543
6/24/14,move,walking,2014-06-24T08:51:50-07:00,2014-06-24T09:04:21-07:00,751
6/24/14,place,Sutardja Dai Hall - CITRIS Building,2014-06-24T09:04:20-07:00,2014-06-24T10:51:16-07:00,6416
6/24/14,move,walking,2014-06-24T10:51:16-07:00,2014-06-24T10:54:35-07:00,199
6/24/14,place,"Place in University of California, Berkeley",2014-06-24T10:54:35-07:00,2014-06-24T12:13:38-07:00,4743
6/24/14,move,cycling,2014-06-24T12:13:38-07:00,2014-06-24T12:19:06-07:00,328
6/24/14,place,Place in Berkeley,2014-06-24T12:19:06-07:00,2014-06-24T13:09:33-07:00,3027
6/24/14,move,cycling,2014-06-24T13:09:33-07:00,2014-06-24T13:16:51-07:00,438
6/24/14,place,Home,2014-06-24T13:16:51-07:00,2014-06-24T19:54:29-07:00,23858
6/24/14,move,transport,2014-06-24T19:54:29-07:00,2014-06-24T20:44:10-07:00,2981
6/24/14,place,Place in Mountain View,2014-06-24T20:44:10-07:00,2014-06-24T21:05:40-07:00,1290
6/24/14,move,transport,2014-06-24T21:05:40-07:00,2014-06-24T21:15:01-07:00,561
6/24/14,place,Place in Mountain View,2014-06-24T21:15:01-07:00,2014-06-25T00:00:00-07:00,9899
6/25/14,place,Place in Mountain View,2014-06-25T00:00:00-07:00,2014-06-25T00:01:20-07:00,80
6/25/14,move,transport,2014-06-25T00:01:20-07:00,2014-06-25T01:08:56-07:00,4056
6/25/14,place,Home,2014-06-25T01:08:56-07:00,2014-06-25T16:59:51-07:00,57055
6/25/14,move,transport,2014-06-25T16:59:51-07:00,2014-06-25T17:03:52-07:00,241
6/25/14,move,walking,2014-06-25T17:03:51-07:00,2014-06-25T17:08:07-07:00,256
6/25/14,place,Place in Berkeley,2014-06-25T17:08:07-07:00,2014-06-25T17:19:16-07:00,669
6/25/14,move,transport,2014-06-25T17:19:16-07:00,2014-06-25T17:25:10-07:00,354
6/25/14,place,Home,2014-06-25T17:25:09-07:00,2014-06-26T00:00:00-07:00,23691
6/26/14,place,Home,2014-06-26T00:00:00-07:00,2014-06-26T08:25:59-07:00,30359
6/26/14,move,transport,2014-06-26T08:25:59-07:00,2014-06-26T09:51:00-07:00,5101
6/26/14,place,Place in Lilac Lane,2014-06-26T09:51:40-07:00,2014-06-26T14:45:35-07:00,17635
6/26/14,move,transport,2014-06-26T14:45:35-07:00,2014-06-26T16:16:46-07:00,5471
6/26/14,move,walking,2014-06-26T16:16:46-07:00,2014-06-26T16:19:57-07:00,191
6/26/14,place,Place in Kress Building,2014-06-26T16:19:57-07:00,2014-06-26T17:24:42-07:00,3885
6/26/14,move,transport,2014-06-26T17:24:42-07:00,2014-06-26T17:33:26-07:00,524
6/26/14,place,Home,2014-06-26T17:33:26-07:00,2014-06-26T19:25:58-07:00,6752
6/26/14,move,transport,2014-06-26T19:25:58-07:00,2014-06-26T19:33:37-07:00,459
6/26/14,place,School of Information,2014-06-26T19:33:37-07:00,2014-06-26T19:48:28-07:00,891
6/26/14,move,walking,2014-06-26T19:48:28-07:00,2014-06-26T19:54:20-07:00,352
6/26/14,place,Place in Haas Pavilion,2014-06-26T19:54:19-07:00,2014-06-26T21:32:13-07:00,5874
6/26/14,move,transport,2014-06-26T21:32:13-07:00,2014-06-26T22:32:28-07:00,3615
6/26/14,place,Place in Mountain View,2014-06-26T22:32:28-07:00,2014-06-27T00:00:00-07:00,5252
6/27/14,place,Place in Mountain View,2014-06-27T00:00:00-07:00,2014-06-27T10:26:42-07:00,37602
6/27/14,move,transport,2014-06-27T10:26:42-07:00,2014-06-27T10:42:02-07:00,920
6/27/14,place,Place in Palo Alto,2014-06-27T10:42:03-07:00,2014-06-27T12:42:25-07:00,7222
6/27/14,move,transport,2014-06-27T12:42:25-07:00,2014-06-27T12:48:20-07:00,355
6/27/14,place,Place in Escondido Village,2014-06-27T12:48:21-07:00,2014-06-27T13:52:35-07:00,3854
6/27/14,move,transport,2014-06-27T13:52:35-07:00,2014-06-27T14:05:22-07:00,767
6/27/14,place,Place in Mountain View,2014-06-27T14:05:21-07:00,2014-06-27T15:42:30-07:00,5829
6/27/14,move,transport,2014-06-27T15:42:30-07:00,2014-06-27T15:59:10-07:00,1000
6/27/14,place,Place in Lilac Lane,2014-06-27T15:59:10-07:00,2014-06-27T17:48:38-07:00,6568
6/27/14,move,transport,2014-06-27T17:48:38-07:00,2014-06-27T18:04:59-07:00,981
6/27/14,place,Place in Downtown North,2014-06-27T18:04:59-07:00,2014-06-27T21:02:40-07:00,10661
6/27/14,move,walking,2014-06-27T21:02:40-07:00,2014-06-27T21:07:19-07:00,279
6/27/14,place,Place in University South,2014-06-27T21:07:19-07:00,2014-06-27T21:17:13-07:00,594
6/28/14,move,walking,2014-06-28T00:19:01-07:00,2014-06-28T00:23:14-07:00,253
6/28/14,move,transport,2014-06-28T00:23:14-07:00,2014-06-28T01:26:32-07:00,3798
6/28/14,place,Home,2014-06-28T01:26:46-07:00,2014-06-28T15:35:17-07:00,50911
6/28/14,move,transport,2014-06-28T15:35:17-07:00,2014-06-28T16:30:27-07:00,3310
6/28/14,place,Home,2014-06-28T16:30:26-07:00,2014-06-29T00:00:00-07:00,26974
6/29/14,place,Home,2014-06-29T00:00:00-07:00,2014-06-29T16:05:33-07:00,57933
6/29/14,move,transport,2014-06-29T16:05:33-07:00,2014-06-29T16:22:13-07:00,1000
6/29/14,place,Place in Mountain View,2014-06-29T16:22:13-07:00,2014-06-29T16:31:13-07:00,540
6/29/14,move,transport,2014-06-29T16:31:13-07:00,2014-06-29T16:46:35-07:00,922
6/29/14,move,walking,2014-06-29T16:46:35-07:00,2014-06-29T16:50:51-07:00,256
6/29/14,place,Place in Mountain View,2014-06-29T16:50:51-07:00,2014-06-29T17:31:33-07:00,2442
