Date,Type,Name,Start,End,Duration
6/26/14,place,Home,2014-06-26T00:00:00-07:00,2014-06-26T08:25:59-07:00,30359
6/26/14,move,transport,2014-06-26T08:25:59-07:00,2014-06-26T09:51:00-07:00,5101
6/26/14,place,Place in Lilac Lane,2014-06-26T09:51:40-07:00,2014-06-26T14:45:35-07:00,17635
6/26/14,move,transport,2014-06-26T14:45:35-07:00,2014-06-26T16:16:46-07:00,5471
6/26/14,move,walking,2014-06-26T16:16:46-07:00,2014-06-26T16:19:57-07:00,191
6/26/14,place,Place in Kress Building,2014-06-26T16:19:57-07:00,2014-06-26T17:24:42-07:00,3885
6/26/14,move,transport,2014-06-26T17:24:42-07:00,2014-06-26T17:33:26-07:00,524
6/26/14,place,Home,2014-06-26T17:33:26-07:00,2014-06-26T19:25:58-07:00,6752
6/26/14,move,transport,2014-06-26T19:25:58-07:00,2014-06-26T19:33:37-07:00,459
6/26/14,place,School of Information,2014-06-26T19:33:37-07:00,2014-06-26T19:48:28-07:00,891
6/26/14,move,walking,2014-06-26T19:48:28-07:00,2014-06-26T19:54:20-07:00,352
6/26/14,place,Place in Haas Pavilion,2014-06-26T19:54:19-07:00,2014-06-26T21:32:13-07:00,5874
6/26/14,move,transport,2014-06-26T21:32:13-07:00,2014-06-26T22:32:28-07:00,3615
6/26/14,place,Place in Mountain View,2014-06-26T22:32:28-07:00,2014-06-27T00:00:00-07:00,5252
