Date,Type,Name,Start,End,Duration
7/1/14,place,Home,2014-07-01T00:00:00-07:00,2014-07-01T13:51:26-07:00,49886
7/1/14,move,cycling,2014-07-01T13:51:26-07:00,2014-07-01T13:58:14-07:00,408
7/1/14,place,Siemens Berkeley,2014-07-01T13:58:14-07:00,2014-07-01T15:11:47-07:00,4413
7/1/14,move,walking,2014-07-01T15:11:47-07:00,2014-07-01T15:26:57-07:00,910
7/1/14,place,School of Information,2014-07-01T15:26:57-07:00,2014-07-01T19:21:43-07:00,14086
7/1/14,move,cycling,2014-07-01T19:21:43-07:00,2014-07-01T19:30:35-07:00,532
7/1/14,place,Home,2014-07-01T19:30:36-07:00,2014-07-02T00:00:00-07:00,16164
