Date,Type,Name,Start,End,Duration
7/8/14,place,Home,2014-07-08T00:00:00-07:00,2014-07-08T13:10:51-07:00,47451
7/8/14,move,cycling,2014-07-08T13:10:51-07:00,2014-07-08T13:19:32-07:00,521
7/8/14,place,Siemens Berkeley,2014-07-08T13:19:32-07:00,2014-07-08T13:30:00-07:00,628
7/8/14,move,cycling,2014-07-08T13:30:00-07:00,2014-07-08T13:33:16-07:00,196
7/8/14,place,School of Information,2014-07-08T13:33:16-07:00,2014-07-08T16:06:28-07:00,9192
7/8/14,move,walking,2014-07-08T16:06:28-07:00,2014-07-08T16:15:34-07:00,546
7/8/14,place,Sutardja Dai Hall - CITRIS Building,2014-07-08T16:15:34-07:00,2014-07-08T17:54:23-07:00,5929
