Date,Type,Name,Start,End,Duration
7/2/14,place,Home,2014-07-02T00:00:00-07:00,2014-07-02T15:42:54-07:00,56574
7/2/14,move,transport,2014-07-02T15:42:54-07:00,2014-07-02T15:46:53-07:00,239
7/2/14,move,walking,2014-07-02T15:46:53-07:00,2014-07-02T15:52:53-07:00,360
7/2/14,place,Siemens Berkeley,2014-07-02T15:52:54-07:00,2014-07-02T17:01:27-07:00,4113
7/2/14,move,cycling,2014-07-02T17:01:27-07:00,2014-07-02T17:07:01-07:00,334
7/2/14,place,Home,2014-07-02T17:07:02-07:00,2014-07-02T17:32:33-07:00,1531
7/2/14,move,walking,2014-07-02T17:32:33-07:00,2014-07-02T17:44:25-07:00,712
7/2/14,move,transport,2014-07-02T17:44:25-07:00,2014-07-02T18:44:59-07:00,3634
7/2/14,place,Place in San Francisco International Airport,2014-07-02T18:44:59-07:00,2014-07-02T18:54:56-07:00,597
7/2/14,move,transport,2014-07-02T18:54:56-07:00,2014-07-02T19:49:12-07:00,3256
7/2/14,place,Place in Mountain View,2014-07-02T19:49:11-07:00,2014-07-02T19:53:31-07:00,260
7/2/14,move,walking,2014-07-02T19:53:31-07:00,2014-07-02T20:03:42-07:00,611
7/2/14,place,Place in Mountain View,2014-07-02T20:03:41-07:00,2014-07-02T20:11:14-07:00,453
7/2/14,move,transport,2014-07-02T20:11:14-07:00,2014-07-02T20:20:12-07:00,538
7/2/14,place,Saravana Bhavan,2014-07-02T20:20:12-07:00,2014-07-02T21:43:14-07:00,4982
7/2/14,move,transport,2014-07-02T21:43:14-07:00,2014-07-02T21:54:29-07:00,675
7/2/14,place,Home,2014-07-02T21:54:29-07:00,2014-07-02T23:08:03-07:00,4414
7/2/14,move,transport,2014-07-02T23:08:03-07:00,2014-07-02T23:24:26-07:00,983
7/2/14,move,walking,2014-07-02T23:24:26-07:00,2014-07-02T23:29:18-07:00,292
7/2/14,place,Place in Johnsville Mobile Home Park,2014-07-02T23:29:18-07:00,2014-07-03T00:00:00-07:00,1842
