Date,Type,Name,Start,End,Duration
7/5/14,place,Place in Los Angeles County,2014-07-05T00:00:00-07:00,2014-07-05T09:24:11-07:00,33851
7/5/14,move,transport,2014-07-05T09:24:11-07:00,2014-07-05T10:29:11-07:00,3900
7/5/14,place,Place in Westwood,2014-07-05T10:29:11-07:00,2014-07-05T10:53:44-07:00,1473
7/5/14,move,transport,2014-07-05T10:53:44-07:00,2014-07-05T11:08:00-07:00,856
7/5/14,place,Place in Los Angeles County,2014-07-05T11:07:59-07:00,2014-07-05T11:21:59-07:00,840
7/5/14,move,transport,2014-07-05T11:21:59-07:00,2014-07-05T11:36:13-07:00,854
7/5/14,place,Place in Westwood Village,2014-07-05T11:36:12-07:00,2014-07-05T12:18:43-07:00,2551
7/5/14,move,transport,2014-07-05T12:18:43-07:00,2014-07-05T12:40:30-07:00,1307
7/5/14,move,walking,2014-07-05T12:40:30-07:00,2014-07-05T12:44:33-07:00,243
7/5/14,place,Place in Los Angeles County,2014-07-05T12:44:33-07:00,2014-07-05T13:45:50-07:00,3677
7/5/14,move,transport,2014-07-05T13:45:50-07:00,2014-07-05T13:53:40-07:00,470
7/5/14,place,Place in Westwood Village,2014-07-05T13:53:41-07:00,2014-07-05T15:07:40-07:00,4439
7/5/14,move,transport,2014-07-05T15:07:40-07:00,2014-07-05T15:12:49-07:00,309
7/5/14,place,Place in Westwood Village,2014-07-05T15:12:49-07:00,2014-07-05T15:22:47-07:00,598
7/5/14,move,transport,2014-07-05T15:22:47-07:00,2014-07-05T15:51:03-07:00,1696
7/5/14,place,Place in Los Angeles County,2014-07-05T15:51:03-07:00,2014-07-05T16:23:24-07:00,1941
7/5/14,move,transport,2014-07-05T16:23:24-07:00,2014-07-05T17:51:03-07:00,5259
7/5/14,place,Place in California,2014-07-05T17:51:02-07:00,2014-07-05T19:09:57-07:00,4735
7/5/14,move,transport,2014-07-05T19:09:57-07:00,2014-07-05T23:18:20-07:00,14903
7/5/14,place,Home,2014-07-05T23:18:31-07:00,2014-07-06T00:00:00-07:00,2489
