Date,Type,Name,Start,End,Duration
6/7/14,place,Home,2014-06-07T00:00:00-07:00,2014-06-07T11:51:41-07:00,42701
6/7/14,move,running,2014-06-07T11:51:41-07:00,2014-06-07T11:59:17-07:00,456
6/7/14,move,transport,2014-06-07T11:59:17-07:00,2014-06-07T12:41:50-07:00,2553
6/7/14,move,walking,2014-06-07T12:41:49-07:00,2014-06-07T12:54:02-07:00,733
6/7/14,place,Place in Powell Station,2014-06-07T12:54:03-07:00,2014-06-07T13:01:04-07:00,421
6/7/14,move,transport,2014-06-07T13:01:04-07:00,2014-06-07T13:41:17-07:00,2413
6/7/14,move,walking,2014-06-07T13:41:16-07:00,2014-06-07T13:53:52-07:00,756
6/7/14,place,Place in Golden Gate Park,2014-06-07T13:53:53-07:00,2014-06-07T14:35:17-07:00,2484
6/7/14,move,walking,2014-06-07T14:35:17-07:00,2014-06-07T14:40:37-07:00,320
6/7/14,place,Place in Golden Gate Park,2014-06-07T14:40:37-07:00,2014-06-07T18:14:08-07:00,12811
6/7/14,move,walking,2014-06-07T19:06:24-07:00,2014-06-07T19:16:30-07:00,606
6/7/14,place,Place in San Francisco,2014-06-07T19:16:31-07:00,2014-06-07T19:24:15-07:00,464
6/7/14,place,Home,2014-06-07T22:17:58-07:00,2014-06-08T00:00:00-07:00,6122
